Fine-Tuning,M1,M2,M3,MHu2,MHd2,signmu,Mq2ii,Ml2ii,Mu2ii,Md2ii,Me2ii,Mq233,Ml233,Mu233,Md233,Me233,Tu33,Td33,Te33,tanb
792.930646,-268.066406,-1829.58984,1588.62305,944824.219,2280761.72,-1,2388427.73,5306396.48,5851318.36,4027587.89,4765869.14,1557861.33,8606689.45,5926025.39,5802978.52,7701416.02,798.339844,-268.066406,1000.48828,15.1855469
556.241146,763.183594,1264.16016,1072.99805,5726074.22,8187011.72,-1,5341552.73,7697021.48,7116943.36,1636962.89,3218994.14,1979736.33,3684814.45,1847900.39,8474853.52,1654541.02,-1732.91016,763.183594,1094.23828,42.0605469
731.916746,-654.785156,-2544.43359,305.419922,-1973144.53,4425292.97,-1,6695068.36,4269287.11,4286865.23,5486572.27,916259.766,2805908.2,3667236.33,7209228.52,3359619.14,2937744.14,411.621094,-654.785156,-1190.91797,26.3574219
176.06842,634.277344,1510.25391,457.763672,4425292.97,7026855.47,-1,2792724.61,4445068.36,2775146.48,2287353.52,1373291.02,7341064.45,7921142.58,4502197.27,3676025.39,5011962.89,528.808594,634.277344,1129.39453,49.6386719
343.347453,-1053.22266,2447.75391,739.013672,2737792.97,5339355.47,-1,3636474.61,5851318.36,5868896.48,3131103.52,2217041.02,5372314.45,4264892.58,3095947.27,7894775.39,5855712.89,-1158.69141,-1053.22266,191.894531,25.8886719
310.358757,-303.222656,-1302.24609,1114.01367,4987792.97,3089355.47,-1,261474.609,226318.359,243896.484,2006103.52,3342041.02,6497314.45,889892.578,1970947.27,4519775.39,4730712.89,1091.30859,-303.222656,941.894531,30.8886719
835.273819,24.9023438,2119.62891,1465.57617,7097167.97,6042480.47,-1,4269287.11,1702880.86,7907958.98,951416.016,4396728.52,8958251.95,678955.078,6541259.77,5011962.89,5363525.39,-1111.81641,24.9023438,707.519531,41.2011719
621.985852,-350.097656,2494.62891,153.076172,1472167.97,4917480.47,-1,3706787.11,7890380.86,6220458.98,3763916.02,459228.516,8395751.95,1241455.08,5978759.77,1074462.89,7051025.39,-736.816406,-350.097656,-1917.48047,13.7011719
509.151885,-827.636719,-2471.19141,1007.08008,-1067871.09,8230957.03,-1,6717041.02,3175048.83,7455322.27,5033935.55,3021240.23,1773193.36,964599.609,2529052.73,5737060.55,6369873.05,-1067.87109,-827.636719,-748.535156,21.6894531
962.475355,-991.699219,-1416.50391,1581.29883,4768066.41,8020019.53,-1,5205322.27,3069580.08,5381103.52,2115966.8,4743896.48,7292724.61,2968505.86,3548583.98,2186279.3,8514404.3,2611.81641,-991.699219,-1521.97266,20.2832031
